year,ceremony,category,nominee,film,winner,source_url
2016,8th City People Entertainment Awards,Best Collaboration,Humblesmith featuring. Davido,Osinachi Remix,1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2016,8th City People Entertainment Awards,Music Artist of the Year (Female),Simi,Music Artist of the Year (Female),1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2016,8th City People Entertainment Awards,Music Artist of the Year (Male),Kizz Daniel,Music Artist of the Year (Male),1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2016,8th City People Entertainment Awards,Popular Song of the Year (2016-2020),HarrySong,Reggae Blues,1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Best Collaboration,Adekunle Gold featuring Simi,No Forget,1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Best Collaboration,"Illbliss featuring Reekado Banks, Mr Eazi",Jawonlaya,0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Best Collaboration,Phyno featuring P,"Square – ""Financial Woman",0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Best Collaboration,Ycee featuring Maleek Berry,Juice,0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Female),Tiwa Savage,Music Artist of the Year (Female),1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Female),Aramide,Music Artist of the Year (Female),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Female),Niniola,Music Artist of the Year (Female),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Female),Seyi Shay,Music Artist of the Year (Female),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Female),Simi,Music Artist of the Year (Female),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Female),Yemi Alade,Music Artist of the Year (Female),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Male),Harrysong,Music Artist of the Year (Male),1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Male),Davido,Music Artist of the Year (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Male),Kizz Daniel,Music Artist of the Year (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Male),Olamide,Music Artist of the Year (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Male),Runtown,Music Artist of the Year (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Male),Tekno,Music Artist of the Year (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Music Artist of the Year (Male),Wizkid,Music Artist of the Year (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2017,9th City People Entertainment Awards,Popular Song of the Year (2016-2020),Davido,If,1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2018,10th City People Entertainment Awards,Music Artist of the Year (Male),Mayokun,Music Artist of the Year (Male),1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2018,10th City People Entertainment Awards,Popular Song of the Year (2016-2020),"Mr Real featuring Idowest, Kelvin Chuks & Odadice",Legbegbe,1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2020,12th City People Entertainment Awards,City People Next Rated Artiste (Male),Bella Shmurda,City People Next Rated Artiste (Male),1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2020,12th City People Entertainment Awards,City People Next Rated Artiste (Male),Bad Boy Timz,City People Next Rated Artiste (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2020,12th City People Entertainment Awards,City People Next Rated Artiste (Male),Cheque,City People Next Rated Artiste (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2020,12th City People Entertainment Awards,City People Next Rated Artiste (Male),Omah Lay,City People Next Rated Artiste (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2020,12th City People Entertainment Awards,City People Next Rated Artiste (Male),Oxlade,City People Next Rated Artiste (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2020,12th City People Entertainment Awards,City People Next Rated Artiste (Male),Wizpec,City People Next Rated Artiste (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2020,12th City People Entertainment Awards,City People Next Rated Artiste (Male),Zinoleesky,City People Next Rated Artiste (Male),0,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2020,12th City People Entertainment Awards,Comedy Act of the Year,Mr Macaroni,Comedy Act of the Year,1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2020,12th City People Entertainment Awards,Popular Song of the Year (2016-2020),Asake,Mr. Money,1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
2020,12th City People Entertainment Awards,Rap Act of the Year,CDQ,Rap Act of the Year,1,https://en.wikipedia.org/wiki/City_People_Entertainment_Awards
